model_name,arch,M,K,ROW_BLOCK_SIZE,COL_BLOCK_SIZE,PARALLEL_SIZE,BM,BK,bm,avg_latency_s,tile_latency_s,tokens_per_second,rank
Llama-120M,tl1,32000,768,320,256,32,320,256,32,0.10348799996791058,8.623999997325882e-06,1236.858380099046,11
Llama-120M,tl1,32000,768,64,256,32,64,256,32,0.10349040021537803,8.624200017948169e-06,1236.8296937069917,12
Llama-120M,tl1,32000,768,128,128,64,128,128,64,0.10355759977755952,8.629799981463294e-06,1236.0271025491365,13
Llama-120M,tl1,32000,768,128,256,32,128,256,32,0.10367999984737253,8.639999987281043e-06,1234.567903051977,14
Llama-120M,tl1,32000,768,320,64,64,320,64,64,0.16320959948643576,6.80039997860149e-06,784.2675945702446,15
Llama-120M,tl1,32000,768,256,64,64,256,64,64,0.16422240078100003,6.842600032541668e-06,779.4308169364502,16
Llama-120M,tl1,32000,768,128,64,64,128,64,64,0.1645632004510844,6.8568000187951835e-06,777.816666479134,17
Llama-120M,tl1,32000,768,64,64,64,64,64,64,0.16461599989270326,6.858999995529302e-06,777.5671871715411,18
Llama-120M,tl1,32000,768,128,128,32,128,128,32,0.16475519951200113,6.864799979666714e-06,776.9102303243316,19
Llama-120M,tl1,32000,768,32,128,32,32,128,32,0.16523039994353894,6.884599997647456e-06,774.6758468401639,20
Llama-120M,tl1,32000,768,160,128,32,160,128,32,0.16527360057807527,6.88640002408647e-06,774.4733554076156,21
Llama-120M,tl1,32000,768,256,128,32,256,128,32,0.1653792005527066,6.890800023029442e-06,773.9788290922727,22
Llama-120M,tl1,32000,768,320,128,32,320,128,32,0.1660992000324768,6.9208000013532e-06,770.6238198315982,23
Llama-120M,tl1,32000,768,64,128,32,64,128,32,0.231888001144398,9.66200004768325e-06,551.9906134353785,24
Llama-120M,tl1,32000,768,160,64,32,160,64,32,0.28062719975423533,5.846399994879903e-06,456.12114617577504,25
Llama-120M,tl1,32000,768,256,64,32,256,64,32,0.28141440016042907,5.862800003342273e-06,454.845238648163,26
Llama-120M,tl1,32000,768,32,64,32,32,64,32,0.2816160013026092,5.867000027137692e-06,454.5196274641304,27
Llama-120M,tl1,32000,768,64,64,32,64,64,32,0.2828640012012329,5.893000025025685e-06,452.51428056035746,28
